UNIXTime,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Date,Hour,Month,SecondsAfterSunRise,MinutesAfterSunRise,WindDirection_int,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Month_9,Month_10,Month_11,Month_12,Speed_2,Speed_3,Humidity_2,WindDirection_2,Pressure_2,Hour_2
1475208652,18:10:52,6.63,53,30.44,59,118.82,5.62,06:13:00,18:13:00,9/29/2016,18,9,43072.0,717.8666666666667,119.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31.584400000000002,177.50432800000002,3481,14118.192399999998,926.5936,324
1475208322,18:05:22,10.96,54,30.44,59,154.16,4.5,06:13:00,18:13:00,9/29/2016,18,9,42742.0,712.3666666666667,154.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.25,91.125,3481,23765.3056,926.5936,324
1475208022,18:00:22,19.42,55,30.44,57,58.42,6.75,06:13:00,18:13:00,9/29/2016,18,9,42442.0,707.3666666666667,58.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45.5625,307.546875,3249,3412.8964,926.5936,324
1475207722,17:55:22,27.14,55,30.44,53,47.86,4.5,06:13:00,18:13:00,9/29/2016,17,9,42142.0,702.3666666666667,48.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.25,91.125,2809,2290.5796,926.5936,289
1475207419,17:50:19,33.75,56,30.44,52,74.56,2.25,06:13:00,18:13:00,9/29/2016,17,9,41839.0,697.3166666666667,75.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0625,11.390625,2704,5559.1936000000005,926.5936,289
1475207122,17:45:22,49.57,56,30.44,49,25.72,6.75,06:13:00,18:13:00,9/29/2016,17,9,41542.0,692.3666666666667,26.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,45.5625,307.546875,2401,661.5183999999999,926.5936,289
1475206822,17:40:22,59.62,56,30.44,50,102.11,2.25,06:13:00,18:13:00,9/29/2016,17,9,41242.0,687.3666666666667,102.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0625,11.390625,2500,10426.4521,926.5936,289
1475206538,17:35:38,87.23,56,30.44,48,67.49,3.37,06:13:00,18:13:00,9/29/2016,17,9,40958.0,682.6333333333333,67.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11.356900000000001,38.272753,2304,4554.900099999999,926.5936,289
1475206225,17:30:25,109.93,56,30.43,49,180.29,2.25,06:13:00,18:13:00,9/29/2016,17,9,40645.0,677.4166666666666,180.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0625,11.390625,2401,32504.484099999998,925.9849,289
1475205925,17:25:25,130.82,57,30.43,57,150.2,2.25,06:13:00,18:13:00,9/29/2016,17,9,40345.0,672.4166666666666,150.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0625,11.390625,3249,22560.039999999997,925.9849,289
